id	char
1196	管
1197	篇
1198	簸
1199	簿
1200	籖
1201	类
1202	粉
1203	粹
1204	精
1205	糊
1206	糖
1207	糟
1208	系
1209	約
1210	素
1211	索
1212	紧
1213	紫
1214	累
1215	結
1216	編
1217	繁
1218	纠
1219	红
1220	约
1221	纪
1222	纯
1223	纳
1224	纵
1225	纷
1226	纹
1227	线
1228	练
1229	细
1230	终
1231	绊
1232	经
1233	绑
1234	结
1235	绕
1236	给
1237	绚
1238	绝
1239	绞
1240	继
1241	绪
1242	续
1243	绻
1244	绽
1245	绿
1246	缓
1247	缘
1248	缠
1249	缩
1250	缱
1251	缺
1252	网
1253	罕
1254	罗
1255	罚
1256	罪
1257	置
1258	羊
1259	美
1260	羞
1261	群
1262	翅
1263	翔
1264	翻
1265	翼
1266	耀
1267	老
1268	考
1269	者
1270	而
1271	耐
1272	耳
1273	耶
1274	耽
1275	聊
1276	聚
1277	聽
1278	肆
1279	肤
1280	肩
1281	肯
1282	胆
1283	背
1284	胜
1285	胡
1286	胳
1287	胶
1288	胸
1289	能
1290	脆
1291	脉
1292	脏
1293	脑
1294	脚
1295	脱
1296	脸
1297	脾
1298	腔
1299	腾
1300	膀
1301	膊
1302	膛
1303	臂
1304	臣
1305	自
1306	至
1307	致
1308	舍
1309	舒
1310	舞
1311	航
1312	般
1313	船
1314	艘
1315	良
1316	艰
1317	色
1318	艳
1319	艾
1320	节
1321	芒
1322	芜
1323	芭
1324	花
1325	苍
1326	苟
1327	若
1328	苦
1329	苹
1330	茧
1331	茫
1332	茱
1333	茵
1334	茶
1335	荒
1336	荡
1337	荣
1338	药
1339	莫
1340	菜
1341	萎
1342	落
1343	著
1344	葬
1345	蒙
1346	蒸
1347	蓝
1348	蔓
1349	蔷
1350	蔽
1351	蕾
1352	薇
1353	藏
1354	虏
1355	虑
1356	虔
1357	虚
1358	虹
1359	虽
1360	蛇
1361	蛋
1362	蛙
1363	蜃
1364	蜜
1365	蝙
1366	蝠
1367	融
1368	蠢
1369	血
1370	衅
1371	行
1372	衍
1373	街
1374	衣
1375	补
1376	表
1377	衷
1378	袋
1379	被
1380	袱
1381	装
1382	裏
1383	裡
1384	裤
1385	裳
1386	裸
1387	裹
1388	褪
1389	要
1390	覺
1391	见
1392	观
1393	规
1394	觅
1395	视
1396	觉
1397	角
1398	解
1399	触
1400	言
1401	訴
1402	話
1403	誓
1404	誰
1405	請
1406	謊
1407	认
1408	讨
1409	让
1410	议
1411	讯
1412	记
1413	讲
1414	讶
1415	许
1416	论
1417	讽
1418	证
1419	识
1420	诉
1421	试
1422	诚
1423	话
1424	该
1425	详
1426	语
1427	误
1428	诱
1429	说
1430	请
1431	诺
1432	读
1433	谁
1434	调
1435	谅
1436	谈
1437	谋
1438	谎
1439	谓
1440	谜
1441	谢
1442	谣
1443	谦
1444	象
1445	豫
1446	貌
1447	買
1448	費
1449	贝
1450	负
1451	责
1452	败
1453	账
1454	质
1455	贪
1456	贫
1457	贵
1458	费
1459	资
1460	赏
1461	赖
1462	赞
1463	赢
1464	走
1465	赶
1466	起
1467	超
1468	越
1469	趣
1470	足
1471	跃
1472	跌
1473	跑
1474	距
1475	跟
1476	路
1477	跳
1478	踏
1479	踩
1480	踭
1481	躁
1482	身
1483	躯
1484	躲
1485	躺
1486	车
1487	轨
1488	转
1489	轮
1490	软
1491	轰
1492	轻
1493	载
1494	较
1495	辆
1496	输
1497	辛
1498	辣
1499	辱
1500	边
1501	达
1502	迁
1503	过
1504	迈
1505	运
1506	近
1507	返
1508	还
1509	这
1510	进
1511	远
1512	违
1513	连
1514	迫
1515	迷
1516	迹
1517	追
1518	退
1519	送
1520	适
1521	逃
1522	逆
1523	选
1524	透
1525	逐
1526	途
1527	逗
1528	這
1529	逝
1530	速
1531	造
1532	連
1533	逼
1534	遇
1535	遍
1536	過
1537	遐
1538	道
1539	遗
1540	遥
1541	遭
1542	遮
1543	避
1544	還
1545	邊
1546	邓
1547	那
1548	郁
1549	部
1550	都
1551	配
1552	酒
1553	酝
1554	酷
1555	酸
1556	酿
1557	醉
1558	醋
1559	醒
1560	释
1561	里
1562	重
1563	野
1564	量
1565	针
1566	钟
1567	钢
1568	铁
1569	银
1570	铺
1571	链
1572	销
1573	锁
1574	锈
1575	锋
1576	锐
1577	错
1578	锡
1579	键
1580	镜
1581	長
1582	长
1583	開
1584	门
1585	闪
1586	闭
1587	问
1588	闯
1589	闲
1590	间
1591	闸
1592	闹
1593	阙
1594	防
1595	阳
1596	阴
1597	阵
1598	阻
1599	阿
1600	际
1601	陌
1602	降
1603	限
1604	除
1605	险
1606	陪
1607	陷
1608	随
1609	隐
1610	隔
1611	隙
1612	障
1613	隨
1614	难
1615	雀
1616	雅
1617	集
1618	雙
1619	難
1620	雨
1621	雪
1622	零
1623	電
1624	雾
1625	需
1626	霓
1627	露
1628	霸
1629	霾
1630	青
1631	静
1632	非
1633	靠
1634	面
1635	音
1636	页
1637	顶
1638	顺
1639	须
1640	顽
1641	顾
1642	顿
1643	预
1644	领
1645	颈
1646	频
1647	颗
1648	颜
1649	额
1650	颠
1651	颤
1652	风
1653	飘
1654	飞
1655	飯
1656	餐
1657	饭
1658	饰
1659	首
1660	香
1661	马
1662	骄
1663	骇
1664	验
1665	骗
1666	骤
1667	高
1668	鬼
1669	魂
1670	魄
1671	魔
1672	鲜
1673	鸡
1674	鸦
1675	鸭
1676	鸽
1677	鹅
1678	麻
1679	麼
1680	麽
1681	黄
1682	黎
1683	黑
1684	默
1685	點
1686	鼻
1687	龙
1688	（
1689	）
1690	１
1691	２
1692	６
1693	：
