id	char
967	忑
968	志
969	忘
970	忙
971	忠
972	忧
973	快
974	念
975	忽
976	怀
977	态
978	怅
979	怎
980	怒
981	怕
982	怖
983	怜
984	思
985	怡
986	急
987	性
988	怨
989	怪
990	怯
991	总
992	怼
993	恃
994	恋
995	恐
996	恒
997	恕
998	恙
999	恤
1000	恨
1001	恩
1002	恬
1003	恭
1004	息
1005	恰
1006	恳
1007	恶
1008	恻
1009	恼
1010	悄
1011	悉
1012	悔
1013	悟
1014	悠
1015	患
1016	悬
1017	悭
1018	悯
1019	悲
1020	悸
1021	悼
1022	情
1023	惆
1024	惊
1025	惋
1026	惑
1027	惘
1028	惜
1029	惟
1030	惧
1031	惨
1032	惩
1033	惭
1034	惯
1035	惰
1036	想
1037	惶
1038	惹
1039	愁
1040	愈
1041	愉
1042	意
1043	愐
1044	愕
1045	愚
1046	愛
1047	感
1048	愤
1049	愧
1050	愿
1051	慈
1052	慌
1053	慕
1054	慢
1055	慣
1056	慧
1057	慨
1058	慰
1059	慵
1060	慷
1061	憂
1062	憎
1063	憨
1064	憾
1065	懂
1066	懇
1067	懒
1068	懦
1069	懺
1070	戈
1071	戏
1072	成
1073	我
1074	戒
1075	或
1076	战
1077	戚
1078	戲
1079	戳
1080	戴
1081	户
1082	房
1083	所
1084	扁
1085	扇
1086	手
1087	才
1088	扎
1089	扑
1090	打
1091	托
1092	扣
1093	执
1094	扩
1095	扪
1096	扫
1097	扬
1098	扭
1099	扮
1100	扯
1101	扰
1102	扶
1103	批
1104	找
1105	承
1106	技
1107	抄
1108	抅
1109	抉
1110	把
1111	抑
1112	抓
1113	投
1114	抖
1115	抗
1116	折
1117	抚
1118	抛
1119	抢
1120	护
1121	报
1122	披
1123	抬
1124	抱
1125	抵
1126	抹
1127	押
1128	抽
1129	担
1130	拆
1131	拇
1132	拉
1133	拌
1134	拍
1135	拒
1136	拓
1137	拔
1138	拖
1139	拗
1140	拘
1141	拙
1142	招
1143	拜
1144	拟
1145	拣
1146	拥
1147	拦
1148	拧
1149	拨
1150	择
1151	拭
1152	拯
1153	拱
1154	拳
1155	拼
1156	拾
1157	拿
1158	持
1159	挂
1160	指
1161	按
1162	挑
1163	挖
1164	挚
1165	挞
1166	挟
1167	挡
1168	挣
1169	挤
1170	挥
1171	挨
1172	挫
1173	振
1174	挺
1175	挽
1176	捂
1177	捆
1178	捉
1179	捏
1180	捕
1181	损
1182	捡
1183	换
1184	捧
1185	据
1186	捱
1187	捷
1188	掂
1189	授
1190	掉
1191	掌
1192	掏
1193	排
1194	掘
1195	掠
1196	探
1197	掣
1198	接
1199	控
1200	推
1201	掩
1202	措
1203	掰
1204	掴
1205	揉
1206	提
1207	揑
1208	插
1209	換
1210	握
1211	揭
1212	援
1213	揸
1214	揽
1215	揾
1216	搁
1217	搅
1218	搏
1219	搞
1220	搬
1221	搭
1222	携
1223	摄
1224	摆
1225	摇
1226	摊
1227	摔
1228	摘
1229	摧
1230	摩
1231	摸
1232	撇
1233	撑
1234	撒
1235	撕
1236	撞
1237	撤
1238	撬
1239	播
1240	撮
1241	撼
1242	操
1243	擎
1244	擒
1245	擔
1246	擘
1247	擦
1248	攀
1249	支
1250	收
1251	改
1252	攻
1253	放
1254	政
1255	故
1256	效
1257	敌
1258	敏
1259	救
1260	教
1261	敞
1262	敢
1263	散
1264	敦
1265	敬
1266	数
1267	敲
1268	整
1269	敷
1270	文
1271	斑
1272	斕
1273	斗
1274	料
1275	斜
1276	斥
1277	斩
1278	断
1279	斯
1280	新
1281	斷
1282	方
1283	於
1284	施
1285	旁
1286	旅
1287	旋
1288	旎
1289	旖
1290	无
1291	既
1292	日
1293	旦
1294	旧
1295	早
1296	时
1297	旷
1298	旺
1299	昂
1300	明
1301	昏
1302	易
1303	星
1304	映
1305	春
1306	昧
1307	昨
1308	是
1309	昵
1310	昼
1311	显
1312	晃
1313	晋
1314	晒
1315	晓
1316	晕
1317	晚
1318	晨
1319	普
1320	景
1321	晴
1322	晶
1323	智
1324	晾
1325	暂
1326	暄
1327	暇
1328	暑
1329	暖
1330	暗
1331	暧
1332	暮
1333	暴
1334	曙
1335	曝
1336	曦
1337	曲
1338	曳
1339	更
1340	曼
1341	曾
1342	替
1343	最
1344	會
1345	月
1346	有
1347	朋
1348	服
1349	朕
1350	朗
1351	望
1352	朝
1353	期
1354	木
1355	未
1356	末
1357	本
1358	术
1359	朱
1360	朵
1361	机
1362	朽
1363	杀
1364	杂
1365	权
1366	杉
1367	李
1368	材
1369	村
1370	束
1371	条
1372	来
1373	杯
1374	松
1375	板
1376	极
1377	构
1378	枉
1379	析
1380	枕
1381	林
1382	果
1383	枝
1384	枪
1385	枯
1386	枱
1387	架
1388	枷
1389	某
1390	染
1391	柔
1392	柜
1393	柠
1394	查
1395	柱
1396	柴
1397	标
1398	栋
1399	树
1400	栖
1401	栗
1402	校
1403	样
1404	核
1405	根
1406	格
1407	栽
1408	桂
1409	桃
1410	框
1411	案
1412	桌
1413	桐
1414	桑
1415	档
1416	桥
1417	桩
1418	桶
1419	梁
1420	梅
1421	梗
1422	梢
1423	梦
1424	梧
1425	梭
1426	梯
1427	梳
1428	检
1429	棉
1430	棘
1431	森
1432	棱
1433	棵
1434	棺
1435	椅
1436	植
1437	楚
1438	楼
1439	概
1440	榜
1441	榨
1442	槟
1443	樂
1444	模
1445	横
1446	樱
